695429511228182528,2
697979167976112128,3
705451341477498880,3
707753267082764288,5
762374379514765314,null
775093724363784192,4
780155023955267593,5
784916104569380870,5
786176282706845697,6
786623104608899072,4
789265180890763264,6
790588336977154048,5
790702418660986881,null
791364506425315328,5
793225398267981824,5
793526164061052928,6
794360826740228099,5
794597352673837058,1
794614652160397313,4
794634752410075136,6
794676352163205120,4
794943007095193600,6
795073717986529280,6
795109450717593601,4
795302764511432704,3
795305301318791169,6
795337232425058305,3
795355352720179200,4
795371058652213253,3
795372877897940992,2
795430833133715456,6
795432139391193088,6
795671363214340096,6
795699667287818240,6
795716804584886272,4
795728469833420800,3
795737691535052800,6
795746081053274112,5
795763199454965760,5
795789763651469312,4
795830821659770880,7
795886950897033216,5
795982963909357568,5
796012704624443392,4
796013755146665985,6
796040875335790592,3
796041126960578560,2
796042119374835716,5
796046574359035905,5
796050401392988162,6
796053539973922818,4
796059442127273984,5
796060051874136068,3
796063490301566976,null
796072253985267713,4
796079395106652160,5
796093502023143424,6
796096518528892929,5
