srcase613,garyinlv01,,,,
TeamTrumpTeX,garyinlv01,,,,
TbwoodsWoods,garyinlv01,,,,
Liberty2Cynthia,garyinlv01,,,,
LJChiov,garyinlv01,,,,
scott_felps,garyinlv01,,,,
shopenauerwho,garyinlv01,,,,
Bronco_7777,garyinlv01,,,,
NormalGuyUSA,garyinlv01,,,,
SnappyBHS,garyinlv01,,,,
Jim_Peoples_,garyinlv01,,,,
LisaCruiseprof,garyinlv01,,,,
777denny_,garyinlv01,,,,
agreatercountry,garyinlv01,,,,
brendanoe60,garyinlv01,,,,
amymariewillard,garyinlv01,,,,
Chisholmswife,garyinlv01,,,,
sheila06942158,garyinlv01,,,,
clearimages,garyinlv01,,,,
NormanDMuelle,garyinlv01,,,,
bakabev,garyinlv01,,,,
gutiemary,garyinlv01,,,,
TroyMGood1,garyinlv01,,,,
bennett1128,garyinlv01,,,,
StacyBrewer18,garyinlv01,,,,
ellimayradrep,garyinlv01,,,,
ressiger1111,garyinlv01,,,,
TheUndine3,garyinlv01,,,,
uliso_lisa,garyinlv01,,,,
TuxieTaylor13,garyinlv01,,,,
Rapnay,garyinlv01,,,,
MMwiley204,garyinlv01,,,,
susan13347,garyinlv01,,,,
RachelMaga_,srcase613,,,,
Amoroso1Pat,TeamTrumpTeX,,,,
Frankb550,TeamTrumpTeX,,,,
MAGAusafirst,TeamTrumpTeX,,,,
Artwo23,TeamTrumpTeX,,,,
garyinlv01,TbwoodsWoods,,,,
big_carsonrocks,LJChiov,,,,
katiedolan,Bronco_7777,,,,
Marine0141,Bronco_7777,,,,
jamesbott007,Bronco_7777,,,,
idebbie1,Bronco_7777,,,,
Katascadero,Bronco_7777,,,,
copsspouse,Jim_Peoples_,,,,
maggiehill222,Jim_Peoples_,,,,
RNRWashDC,Jim_Peoples_,,,,
Gulags_lv,Jim_Peoples_,,,,
krissunset,Jim_Peoples_,,,,
1Kimsey,Jim_Peoples_,,,,
mikezzz111,Jim_Peoples_,,,,
Patriot_Girl71,Jim_Peoples_,,,,
JerryMcBeth2,Jim_Peoples_,,,,
TerriLSelby,LisaCruiseprof,,,,
HighRawMama,LisaCruiseprof,,,,
SheltzMom,777denny_,,,,
LRedderso,777denny_,,,,
expertgush,agreatercountry,,,,
Kayem623,agreatercountry,,,,
JoAnnEileen,agreatercountry,,,,
Debbierg51,agreatercountry,,,,
Trumpetteco,brendanoe60,,,,
Ga_Bunnie,amymariewillard,,,,
AlbaVeritas,amymariewillard,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
user id,screen name,bot Score,spread score,influence score,truthiness score
452830010,@Asad_Umar,0.00136119,0.137953444,0.04646546,0.373015873
19441756,@Mushahid,0.001261693,0.013352306,0.008611272,0.169312169
339040963,@bbhuttozardari,0.001218379,0.075382778,0.019056768,-0.456989247
131763362,@sherryrehman,0.001418792,0.022373806,0.021533552,-0.811518325
453507741,@MaryamNSharif,0.001554351,0.131408138,0.042739693,-0.274509804
434071161,@ShkhRasheed,0.001482813,0.106799111,0.024946077,-0.587301587
450504440,@JahangirKTareen,0.00136119,0.069373944,0.01324234,0.051428571
146832501,@SenRehmanMalik,0.004775576,0.014792861,0.010875662,-0.919354839
136932734,@CMShehbaz,0.001945784,0.110667722,0.051580836,0.005780347
122453931,@ImranKhanPTI,0.001634715,0.222636028,0.093296632,0.958762887
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10,@Asad_Umar,,,,
9,@Mushahid,,,,
8,@bbhuttozardari,,,,
7,@sherryrehman,,,,
6,@MaryamNSharif,,,,
5,@ShkhRasheed,,,,
4,@JahangirKTareen,,,,
3,@SenRehmanMalik,,,,
2,@CMShehbaz,,,,
1,@ImranKhanPTI,,,,
